Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:26,Data class,Data type,Answers
245fb4c7-5e4c-448e-8cfe-b88cbdeef5d4,,HUSBAND/CONTACTâ€™S NAME,,,,,,Question,Text,
44794ffe-3a4d-4c2d-90c2-7d4ac8c67769,,PHONE NUMBER,,,,,,Question,Numeric,
868f4e4f-2e5e-4b1f-adc1-59373a25064e,,"ANC, Gravida",Gravida,,,,,Question,Numeric,
afea7259-3856-4a99-b9f3-39b74cb82a13,,PARA,,,,,,Question,Numeric,
8f473aad-697e-462f-bd16-2731cb82a455,,POG,,,,,,Question,Numeric,
abaf5e3a-da08-46f6-b667-5d536bb0f050,,EDD,,,,,,Question,Date,
b000d96f-51f0-4954-adb7-ef135ae798d2,,Has your doctor ever said that you have a heart condition?,,,,,,Question,Boolean,
dcd41502-168e-47b4-8c4e-0cf8be7d585b,,"If YES, please give details",,,,,,Question,Text,
79339c33-e270-4634-8bab-c69d7cbf4cca,,Do you feel pain in your chest when you carry out physical activity?,,,,,,Question,Boolean,
d84e15f6-9d82-4e75-afab-ca0fc8a9fbe9,,Have you had chest pain when you were not doing physical activity in the past month?,,,,,,Question,Boolean,
7613e9df-8b8a-4f43-8d62-9c2c2fca0214,,Do you lose your balance because of dizziness or do you ever lose consciousness?,,,,,,Question,Boolean,
9b254ba8-64e9-4c8f-9bdf-deb5f2682245,,"Do you have back/pelvic or other joint problem that could be made worse by a 
change in your physical activity?",,,,,,Question,Boolean,
33bcb142-1707-4756-aff8-e015860526f3,,"If, YES please give details",,,,,,Question,Text,
c9560119-2c29-4e95-a798-6b874d0b9541,,Do you have raised blood pressure?,,,,,,Question,Boolean,
75486ee1-eb2c-4717-882b-cf240a8acef5,,"If YES, is this pregnancy related and how is it being treated?",,,,,,Question,Text,
77651f7f-eb69-4e0b-844d-843398da9f78,,Do you have diabetes?,,,,,,Question,Boolean,
fcfb03af-1700-44a3-8834-797a150ea929,,Do you have asthma?,,,,,,Question,Boolean,
27afe94c-d123-4153-9e11-4ada19edc37e,,"If YES, how is this controlled",,,,,,Question,Text,
3b58c8ec-79fc-436f-8125-0898365593c3,,Do you know of any other reason that could affect your participation in exercise?,,,,,,Question,Boolean,
d833d372-cc4f-44ff-9a12-9eaf69a9a38f,,Have you experienced miscarriage in an earlier pregnancy in the past?,,,,,,Question,Boolean,
622605df-a3d8-447d-80d8-e9d85c4ac9f1,,Have you experienced other pregnancy complications in the past?,,,,,,Question,Boolean,
5026498f-c13f-4348-8f49-d8aa4ed9b4f8,,Are you/were you a regular exerciser before becoming pregnant?,,,,,,Question,Boolean,
f4c44cac-e53a-4145-b99e-e855f555f8d2,,Marked fatigue,,,,,,Question,Boolean,
92f60ba3-5daf-4e99-b800-baa9c0ca36bc,,Bleeding from the vagina (spotting)?,,,,,,Question,Boolean,
0be58c2e-16a0-475c-b157-9ab4556bc085,,Unexplained faintness or dizziness?,,,,,,Question,Boolean,
77a7a7ec-2bf7-4bd4-bd76-3a1e87631e38,,Unexplained abdominal pain?,,,,,,Question,Boolean,
93d12868-457d-4ff7-aeee-413b3f88af6a,,"Sudden swelling, pain or redness in the calf of one or both leg(s)?",,,,,,Question,Boolean,
e0cfe6bd-124c-4f6b-b9fd-6024edda59cc,,Persistent headaches or problems with headaches?,,,,,,Question,Boolean,
d1c7b99e-3e4b-4c4f-b173-17b7e4bd60ef,,"Sudden swelling of the ankles, hands or face?",,,,,,Question,Boolean,
6790d388-529c-473e-9224-18de62ddaead,,Absence of foetal movements after sixth month?,,,,,,Question,Boolean,
03ee1511-5b1c-4524-ba53-5e011442d1b3,,Failure to gain weight after fifth month?,,,,,,Question,Boolean,
ab0c80e9-c5dc-492f-98fe-489c374021fd,,"If you have answered YES to any of the above questions, please give details",,,,,,Question,Text,
a53aa47d-597f-4816-af1c-c1b62e6040c5,,List only regular fitness/recreational activities,,,,,,Question,Text,
656cbdc8-395a-411f-a9f2-78d872f05700,,Heavy lifting?,,,,,,Question,Boolean,
f08eb65b-4d31-489d-89f0-84483fdffb5c,,Frequent walking/stair climbing?,,,,,,Question,Boolean,
50787107-5797-48b4-825b-1444647467be,,Occasional walking (once an hour)?,,,,,,Question,Boolean,
f7f19ddc-71fa-42ee-ae3b-39fbce62bbc4,,Prolonged standing?,,,,,,Question,Boolean,
1b37074f-13d3-4555-b998-38ce59cbd910,,Mainly sitting?,,,,,,Question,Boolean,
52e22950-e890-4271-b35b-05cb247000a8,,Normal daily activity?,,,,,,Question,Boolean,
c4c9ea0d-0465-4f78-84fa-24a130d603ab,,Do you currently smoke tobacco?,,,,,,Question,Boolean,
25c798f5-ecb8-40c6-84c4-698728cb9d97,,Do you currently consume alcohol?,,,,,,Question,Boolean,
a25f4a1c-3a9c-41ba-85a2-33cdf2d4299b,,What physical activity do you intend to do?,,,,,,Question,Boolean,
8f2876a3-1d9d-46b2-9538-6328300981c7,,"Ruptures membranes, premature labour ?",,,,,,Question,Boolean,
e0a865db-7cd0-42b1-8c18-ec162604a4a1,,Persistent second or third trimester bleeding/placenta praevia?,,,,,,Question,Boolean,
d71ac670-d12d-4a03-b258-ea41beb3e5f7,,Pregnancy-induced hypertension or pre-eclampsia?,,,,,,Question,Boolean,
18994a4d-b25a-489d-9746-04cfc7322ce0,,Incompetent cervix?,,,,,,Question,Boolean,
d37a71be-6d9d-4943-9a0f-71e83c181d1d,,Evidence of intrauterine growth restriction?,,,,,,Question,Boolean,
e804d5d0-ddc1-42e0-b96f-a8ba530b2c63,,High-order pregnancy (triplets) ?,,,,,,Question,Boolean,
8f874d6e-9070-437c-9024-1c588626503d,,"Uncontrolled type-I diabetes, hypertension or thyroid disease, other serious 
cardiovascular respiratory or systemic diseases?",,,,,,Question,Boolean,
5bdf96ab-9a8f-4734-b4db-43e915b8ef25,,"History of spontaneous abortion or premature labour in previous pregnancies ?        ",,,,,,Question,Boolean,
553e579d-2d53-46ab-9b15-7455395536b1,,"Mild/moderate cardiovascular or respiratory disease (eg, chronic hypertension, asthma) ?",,,,,,Question,Boolean,
8cd04d68-612e-452b-b58c-7786a9b8330b,,Anaemia or iron deficiency?,,,,,,Question,Boolean,
681e8f71-2eb2-481f-a71f-2cb4ee63f68f,,Malnutrition or eating disorder?,,,,,,Question,Boolean,
ba7bc57e-df4d-4fab-b7ee-d2c6bb156ea3,,Recommended/approved?,,,,,,Question,Boolean,
7695c4f2-c1e0-4439-8764-ba5bff5a63d4,,Contraindicated?,,,,,,Question,Boolean,